Match Date,Team_1,Team_2,Winner,Margin,Ground
"Jan 4, 2010",Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka
"Jan 5, 2010",India,Sri Lanka,Sri Lanka,5 wickets,Dhaka
"Jan 7, 2010",Bangladesh,India,India,6 wickets,Dhaka
"Jan 8, 2010",Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka
"Jan 10, 2010",India,Sri Lanka,India,8 wickets,Dhaka
"Jan 11, 2010",Bangladesh,India,India,6 wickets,Dhaka
"Jan 13, 2010",India,Sri Lanka,Sri Lanka,4 wickets,Dhaka
"Jan 22, 2010",Australia,Pakistan,Australia,5 wickets,Brisbane
"Jan 24, 2010",Australia,Pakistan,Australia,140 runs,Sydney
"Jan 26, 2010",Australia,Pakistan,Australia,40 runs,Adelaide
"Jan 29, 2010",Australia,Pakistan,Australia,135 runs,Perth
"Jan 31, 2010",Australia,Pakistan,Australia,2 wickets,Perth
"Feb 5, 2010",New Zealand,Bangladesh,New Zealand,146 runs,Napier
"Feb 7, 2010",Australia,West Indies,Australia,113 runs,Melbourne
"Feb 8, 2010",New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin
"Feb 9, 2010",Australia,West Indies,Australia,8 wickets,Adelaide
"Feb 11, 2010",New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch
"Feb 12, 2010",Australia,West Indies,no result,,Sydney
"Feb 14, 2010",Australia,West Indies,Australia,50 runs,Brisbane
"Feb 16, 2010",Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym)
"Feb 16, 2010",Afghanistan,Canada,Afghanistan,1 run,Sharjah
"Feb 18, 2010",Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym)
"Feb 18, 2010",Afghanistan,Canada,Canada,4 wickets,Sharjah
"Feb 19, 2010",Australia,West Indies,Australia,125 runs,Melbourne
"Feb 21, 2010",India,South Africa,India,1 run,Jaipur
"Feb 24, 2010",India,South Africa,India,153 runs,Gwalior
"Feb 27, 2010",India,South Africa,South Africa,90 runs,Ahmedabad
"Feb 28, 2010",Bangladesh,England,England,6 wickets,Dhaka
"Mar 2, 2010",Bangladesh,England,England,2 wickets,Dhaka
"Mar 3, 2010",New Zealand,Australia,New Zealand,2 wickets,Napier
"Mar 4, 2010",West Indies,Zimbabwe,Zimbabwe,2 runs,Providence
"Mar 5, 2010",Bangladesh,England,England,45 runs,Chittagong
"Mar 6, 2010",New Zealand,Australia,Australia,12 runs,Auckland
"Mar 6, 2010",West Indies,Zimbabwe,West Indies,4 wickets,Providence
"Mar 9, 2010",New Zealand,Australia,Australia,6 wickets,Hamilton
"Mar 10, 2010",West Indies,Zimbabwe,West Indies,141 runs,Kingstown
"Mar 11, 2010",New Zealand,Australia,Australia,6 wickets,Auckland
